Question,Year,League,Category,PossibleAnswerA,PossibleAnswerB,PossibleAnswerC,Possible Answer D,CorrectAnswer,Difficulty
Who was awarded the [League] League [Category] in [Year]?,2024,American,MVP,Aaron Judge,Bobby Witt Jr.,Juan Soto,Gunnar Henderson,Aaron Judge,Single
Who was awarded the [League] League [Category] in [Year]?,2023,American,MVP,Shohei Ohtani,Corey Segar,Marcus Semien,Julio Rodriguez,Shohei Ohtani,Single
Who was awarded the [League] League [Category] in [Year]?,2022,American,MVP,Aaron Judge,Shohei Ohtani,Yordan Alvarez,Jose Ramirez,Aaron Judge,Single
Who was awarded the [League] League [Category] in [Year]?,2021,American,MVP,Shohei Ohtani,Vladimir Guerrero Jr. ,Marcus Semien,Aaron Judge,Shohei Ohtani,Single
Who was awarded the [League] League [Category] in [Year]?,2020,American,MVP,Jose Abreu,Jose Ramirez,DJ LeMahieu,Shane Bieber,Jose Abreu,Single
Who was awarded the [League] League [Category] in [Year]?,2019,American,MVP,Mike Trout,Alex Bregman,Marcus Semien,DJ LeMahieu,Mike Trout,Single
Who was awarded the [League] League [Category] in [Year]?,2018,American,MVP,Mookie Betts,Mike Trout,Jose Ramirez,J.D. Martinez,Mookie Betts,Double
Who was awarded the [League] League [Category] in [Year]?,2017,American,MVP,Jose Altuve,Aaron Judge,Jose Ramirez,Mike Trout,Jose Altuve,Double
Who was awarded the [League] League [Category] in [Year]?,2016,American,MVP,Mike Trout,Mookie Betts,Jose Altuve,Josh Donaldson,Mike Trout,Double
Who was awarded the [League] League [Category] in [Year]?,2015,American,MVP,Josh Donaldson,Mike Trout,Lorenzo Cain,Manny Machado,Josh Donaldson,Double
Who was awarded the [League] League [Category] in [Year]?,2014,American,MVP,Mike Trout,Victor Martinez,Michael Brantley,Jose Abreu,Mike Trout,Double
Who was awarded the [League] League [Category] in [Year]?,2013,American,MVP,Miguel Cabrera,Mike Trout,Chris Davis,Josh Donaldson,Miguel Cabrera,Double
Who was awarded the [League] League [Category] in [Year]?,2012,American,MVP,Miguel Cabrera,Mike Trout,Adrian Beltre,Robinson Cano,Miguel Cabrera,Triple
Who was awarded the [League] League [Category] in [Year]?,2011,American,MVP,Justin Verlander,Jacoby Ellsbury,Jose Bautista,Curtis Granderson,Justin Verlander,Triple
Who was awarded the [League] League [Category] in [Year]?,2010,American,MVP,Josh Hamilton,Miguel Cabrera,Robinson Cano,Jose Bautista,Josh Hamilton,Triple
Who was awarded the [League] League [Category] in [Year]?,2009,American,MVP,Joe Mauer,Mark Teixeira,Derek Jeter,Miguel Cabrera,Joe Mauer,Triple
Who was awarded the [League] League [Category] in [Year]?,2008,American,MVP,Dustin Pedroia,Justin Morneau,Kevin Youkilis,Joe Mauer,Dustin Pedroia,Triple
Who was awarded the [League] League [Category] in [Year]?,2007,American,MVP,Alex Rodriguez,Magglio Ordonez,Vladimir Guerrero,David Ortiz,Alex Rodriguez,Triple
Who was awarded the [League] League [Category] in [Year]?,2006,American,MVP,Justin Morneau,Derek Jeter,David Ortiz,Frank Thomas,Justin Morneau,Home Run
Who was awarded the [League] League [Category] in [Year]?,2005,American,MVP,Alex Rodriguez,David Ortiz,Vladimir Guerrero,Manny Ramirez,Alex Rodriguez,Home Run
Who was awarded the [League] League [Category] in [Year]?,2004,American,MVP,Vladimir Guerrero,Gary Sheffield,Manny Ramirez,David Ortiz,Vladimir Guerrero,Home Run
Who was awarded the [League] League [Category] in [Year]?,2003,American,MVP,Alex Rodriguez,Carlos Delgado,Jorge Posada,Shannon Stewart,Alex Rodriguez,Home Run
Who was awarded the [League] League [Category] in [Year]?,2002,American,MVP,Miguel Tejada,Alex Rodriguez,Alfonso Soriano,Garret Anderson,Miguel Tejada,Home Run
Who was awarded the [League] League [Category] in [Year]?,2001,American,MVP,Ichiro Suzuki,Jsaon Giambi,Bret Boone,Roberto Alomar,Ichiro Suzuki,Home Run
Who was awarded the [League] League [Category] in [Year]?,2024,National,MVP,Shohei Ohtani,Francisco Lindor,Ketel Marte,Marcell Ozuna,Shohei Ohtani,Single
Who was awarded the [League] League [Category] in [Year]?,2023,National,MVP,Ronald Acuna Jr. ,Mookie Betts,Freddie Freeman,Matt Olson,Ronald Acuna Jr. ,Single
Who was awarded the [League] League [Category] in [Year]?,2022,National,MVP,Paul Goldschmidt,Manny Machado,Nolan Arenado,Freddie Freeman,Paul Goldschmidt,Single
Who was awarded the [League] League [Category] in [Year]?,2021,National,MVP,Bryce Harper,Juan Soto,Fernando Tatis Jr.,Brandon Crawford,Bryce Harper,Single
Who was awarded the [League] League [Category] in [Year]?,2020,National,MVP,Freddie Freeman,Mookie Betts,Manny Machado,Fernando Tatis Jr.,Freddie Freeman,Single
Who was awarded the [League] League [Category] in [Year]?,2019,National,MVP,Cody Bellinger,Christian Yelich,Anthony Rendon,Ketel Marte,Cody Bellinger,Single
Who was awarded the [League] League [Category] in [Year]?,2018,National,MVP,Christian Yelich,Javier Baez,Nolan Arenado,Freddie Freeman,Christian Yelich,Double
Who was awarded the [League] League [Category] in [Year]?,2017,National,MVP,Giancarlo Stanton,Joey Votto,Paul Goldschmidt,Nolan Arenado,Giancarlo Stanton,Double
Who was awarded the [League] League [Category] in [Year]?,2016,National,MVP,Kris Bryant,Daniel Murphy,Corey Seager,Anthony Rizzo,Kris Bryant,Double
Who was awarded the [League] League [Category] in [Year]?,2015,National,MVP,Bryce Harper,Paul Goldschmidt,Joey Votto,Anthony Rizzo,Bryce Harper,Double
Who was awarded the [League] League [Category] in [Year]?,2014,National,MVP,Clayton Kershaw,Giancarlo Stanton,Andrew McCutchen,Jonathan Lucroy,Clayton Kershaw,Double
Who was awarded the [League] League [Category] in [Year]?,2013,National,MVP,Andrew McCutchen,Paul Goldschmidt,Yadier Molina,Matt Carpenter,Andrew McCutchen,Double
Who was awarded the [League] League [Category] in [Year]?,2012,National,MVP,Buster Posey,Ryan Braun,Andrew McCutchen,Yadier Molina,Buster Posey,Triple
Who was awarded the [League] League [Category] in [Year]?,2011,National,MVP,Ryan Braun,Matt Kemp,Prince Fielder,Justin Upton,Ryan Braun,Triple
Who was awarded the [League] League [Category] in [Year]?,2010,National,MVP,Joey Votto,Albert Pujols,Carlos Gonzalez,Adrian Gonzalez,Joey Votto,Triple
Who was awarded the [League] League [Category] in [Year]?,2009,National,MVP,Albert Pujols,Hanley Ramirez,Ryan Howard,Prince Fielder,Albert Pujols,Triple
Who was awarded the [League] League [Category] in [Year]?,2008,National,MVP,Albert Pujols,Ryan Howard,Ryan Braun,Manny Ramirez,Albert Pujols,Triple
Who was awarded the [League] League [Category] in [Year]?,2007,National,MVP,Jimmy Rollins,Matt Holliday,Prince Fielder,David Wright,Jimmy Rollins,Triple
Who was awarded the [League] League [Category] in [Year]?,2006,National,MVP,Ryan Howard,Albert Pujols,Lance Berkman,Carlos Beltran,Ryan Howard,Home Run
Who was awarded the [League] League [Category] in [Year]?,2005,National,MVP,Albert Pujols,Andruw Jones,Derrek Lee,Morgan Ensberg,Albert Pujols,Home Run
Who was awarded the [League] League [Category] in [Year]?,2004,National,MVP,Barry Bonds,Adrian Beltre,Albert Pujols,Scott Rolen,Barry Bonds,Home Run
Who was awarded the [League] League [Category] in [Year]?,2003,National,MVP,Barry Bonds,Albert Pujols,Gary Sheffield,Jim Thome,Barry Bonds,Home Run
Who was awarded the [League] League [Category] in [Year]?,2002,National,MVP,Barry Bonds,Albert Pujols,Lance Berkman,Vladimir Guerrero,Barry Bonds,Home Run
Who was awarded the [League] League [Category] in [Year]?,2001,National,MVP,Barry Bonds,Sammy Sosa,Luis Gonzalez,Albert Pujols,Barry Bonds,Home Run
Who was awarded the [League] League [Category] in [Year]?,2024,American,Rookie of the Year,Luis Gil,Colton Cowser,Austin Wells,Mason Miller,Luis Gil,Single
Who was awarded the [League] League [Category] in [Year]?,2023,American,Rookie of the Year,Gunnar Henderson,Tanner Bibee,Triston Casas,Josh Jung,Gunnar Henderson,Single
Who was awarded the [League] League [Category] in [Year]?,2022,American,Rookie of the Year,Julio Rodriguez,Adley Rutschman,Steven Kwan,Bobby Witt Jr.,Julio Rodriguez,Single
Who was awarded the [League] League [Category] in [Year]?,2021,American,Rookie of the Year,Randy Arozarena,Luis Garcia,Wander Franco,Adolis Garcia,Randy Arozarena,Single
Who was awarded the [League] League [Category] in [Year]?,2020,American,Rookie of the Year,Kyle Lewis,Luis Roberts Jr.,Cristian Javier,Willi Castro,Kyle Lewis,Single
Who was awarded the [League] League [Category] in [Year]?,2019,American,Rookie of the Year,Yordan Alvarez,John Means,Brandon Lowe,Eloy Jimenez,Yordan Alvarez,Single
Who was awarded the [League] League [Category] in [Year]?,2018,American,Rookie of the Year,Shohei Ohtani,Miguel Andujar,Gleyber Torres,Joey Wendle,Shohei Ohtani,Double
Who was awarded the [League] League [Category] in [Year]?,2017,American,Rookie of the Year,Aaron Judge,Andrew Benintendi,Trey Mancini,Yuli Gurriel,Aaron Judge,Double
Who was awarded the [League] League [Category] in [Year]?,2016,American,Rookie of the Year,Michael Fulmer,Gary Sanchez,Tyler Naquin,Chris Devenski,Michael Fulmer,Double
Who was awarded the [League] League [Category] in [Year]?,2015,American,Rookie of the Year,Carlos Correa,Francisco Lindor,Miguel Sano,Roberto Osuna,Carlos Correa,Double
Who was awarded the [League] League [Category] in [Year]?,2014,American,Rookie of the Year,Jose Abreu,Matt Shoemaker,Dellin Betances,Collin McHugh,Jose Abreu,Double
Who was awarded the [League] League [Category] in [Year]?,2013,American,Rookie of the Year,Will Myers,Jose Iglesias,Chris Archer,Dan Straily,Will Myers,Double
Who was awarded the [League] League [Category] in [Year]?,2012,American,Rookie of the Year,Mike Trout,Yoenis Cespedes,Yu Darvish,Wei-Yin Chen,Mike Trout,Triple
Who was awarded the [League] League [Category] in [Year]?,2011,American,Rookie of the Year,Jeremy Hellickson,Mark Trumbo,Eric Hosmer,Ivan Nova,Jeremy Hellickson,Triple
Who was awarded the [League] League [Category] in [Year]?,2010,American,Rookie of the Year,Neftali Feliz,Austin Jackson,Danny Valencia,Wade Davis,Neftali Feliz,Triple
Who was awarded the [League] League [Category] in [Year]?,2009,American,Rookie of the Year,Andrew Bailey,Elvis Andrus,Rick Porcello,Jeff Niemann,Andrew Bailey,Triple
Who was awarded the [League] League [Category] in [Year]?,2008,American,Rookie of the Year,Evan Longoria,Alexei Ramirez,Jacoby Ellsbury,Mike Aviles,Evan Longoria,Triple
Who was awarded the [League] League [Category] in [Year]?,2007,American,Rookie of the Year,Dustin Pedroia,Delmon Young,Brian Bannister,Daisuke Matsuzaka,Dustin Pedroia,Triple
Who was awarded the [League] League [Category] in [Year]?,2006,American,Rookie of the Year,Justin Verlander,Jonathan Papelbon,Francisco Liriano,Kenji Johjima,Justin Verlander,Home Run
Who was awarded the [League] League [Category] in [Year]?,2005,American,Rookie of the Year,Huston Street,Robinson Cano,Jonny Gomes,Tadahito Iguchi,Huston Street,Home Run
Who was awarded the [League] League [Category] in [Year]?,2004,American,Rookie of the Year,Bobby Crosby,Shingo Takatsu,Daniel Cabrera,Zack Greinke,Bobby Crosby,Home Run
Who was awarded the [League] League [Category] in [Year]?,2003,American,Rookie of the Year,Angel Berroa,Hideki Matsui,Rocco Baldelli,Jody Gerut,Angel Berroa,Home Run
Who was awarded the [League] League [Category] in [Year]?,2002,American,Rookie of the Year,Eric Hinske,Rodrigo Lopez,Jorge Julio,Bobby Kielty,Eric Hinske,Home Run
Who was awarded the [League] League [Category] in [Year]?,2001,American,Rookie of the Year,Ichiro Suzuki,CC Sabathia,Alfonso Soriano,David Eckstein,Ichiro Suzuki,Home Run
Who was awarded the [League] League [Category] in [Year]?,2024,National,Rookie of the Year,Paul Skenes,Jackson Merrill,Jackson Chourio,Shota Imanaga,Paul Skenes,Single
Who was awarded the [League] League [Category] in [Year]?,2023,National,Rookie of the Year,Corbin Carroll,Kodai Senga,James Outman,Nolan Jones,Corbin Carroll,Single
Who was awarded the [League] League [Category] in [Year]?,2022,National,Rookie of the Year,Michael Harris II,Spencer Strider,Brendan Donovan,Jake McCarthy,Michael Harris II,Single
Who was awarded the [League] League [Category] in [Year]?,2021,National,Rookie of the Year,Jonathan India,Trevor Rogers,Dylan Carlson,Patrick Wisdom,Jonathan India,Single
Who was awarded the [League] League [Category] in [Year]?,2020,National,Rookie of the Year,Devin Williams,Alec Bohm,Jake Cronenworth,Tony Gonsolin,Devin Williams,Single
Who was awarded the [League] League [Category] in [Year]?,2019,National,Rookie of the Year,Pete Alonso,Michael Soroka,Fernando Tatis Jr.,Bryan Reynolds,Pete Alonso,Single
Who was awarded the [League] League [Category] in [Year]?,2018,National,Rookie of the Year,Ronald Acuna Jr.,Juan Soto,Walker Buehler,Brian Anderson,Ronald Acuna Jr.,Double
Who was awarded the [League] League [Category] in [Year]?,2017,National,Rookie of the Year,Cody Bellinger,Paul DeJong,Josh Bell,Rhys Hoskins,Cody Bellinger,Double
Who was awarded the [League] League [Category] in [Year]?,2016,National,Rookie of the Year,Cory Seager,Trea Turner,Kenta Maeda,Trevor Story,Cory Seager,Double
Who was awarded the [League] League [Category] in [Year]?,2015,National,Rookie of the Year,Kris Bryant,Matt Duffy,Jung Ho Kang,Noah Syndergaard,Kris Bryant,Double
Who was awarded the [League] League [Category] in [Year]?,2014,National,Rookie of the Year,Jacob deGrom,Billy Hamilton,Kolten Wong,Ken Giles,Jacob deGrom,Double
Who was awarded the [League] League [Category] in [Year]?,2013,National,Rookie of the Year,Jose Fernandez,Yasiel Puig,Shelby Miller,Hyun Jin Ryu,Jose Fernandez,Double
Who was awarded the [League] League [Category] in [Year]?,2012,National,Rookie of the Year,Bryce Harper,Wade Miley,Todd Frazier,Willin Rosario,Bryce Harper,Triple
Who was awarded the [League] League [Category] in [Year]?,2011,National,Rookie of the Year,Craig Kimbrel,Freddie Freeman,Vance Worley,Wilson Ramos,Craig Kimbrel,Triple
Who was awarded the [League] League [Category] in [Year]?,2010,National,Rookie of the Year,Buster Posey,Jason Heyward,Jaime Garcia,Gaby Sanchez,Buster Posey,Triple
Who was awarded the [League] League [Category] in [Year]?,2009,National,Rookie of the Year,Chris Coghlan,J.A. Happ,Tommy Hanson,Andrew McCutchen,Chris Coghlan,Triple
Who was awarded the [League] League [Category] in [Year]?,2008,National,Rookie of the Year,Geovany Soto,Joey Votto,Jair Jurrjens,Edinson Volquez,Geovany Soto,Triple
Who was awarded the [League] League [Category] in [Year]?,2007,National,Rookie of the Year,Ryan Braun,Troy Tulowitzki,Hunter Pence,Chris Young,Ryan Braun,Triple
Who was awarded the [League] League [Category] in [Year]?,2006,National,Rookie of the Year,Hanley Ramirez,Ryan Zimmerman,Dan Uggla,Josh Johnson,Hanley Ramirez,Home Run
Who was awarded the [League] League [Category] in [Year]?,2005,National,Rookie of the Year,Ryan Howard,Willy Taveras,Jeff Francoeur,Garret Atkins,Ryan Howard,Home Run
Who was awarded the [League] League [Category] in [Year]?,2004,National,Rookie of the Year,Jason Bay,Khalil Greene,Akinori Otsuka,Aaron Miles,Jason Bay,Home Run
Who was awarded the [League] League [Category] in [Year]?,2003,National,Rookie of the Year,Dontrelle Willis,Scott Podsednik,Brandon Webb,Marlon Byrd,Dontrelle Willis,Home Run
Who was awarded the [League] League [Category] in [Year]?,2002,National,Rookie of the Year,Jason Jennings,Brad Wilkerson,Austin Kearns,Kazuhisa Ishii,Jason Jennings,Home Run
Who was awarded the [League] League [Category] in [Year]?,2001,National,Rookie of the Year,Albert Pujols,Roy Oswalt,Jimmy Rollins,Adam Dunn,Albert Pujols,Home Run
Who was awarded the [League] League [Category] in [Year]?,2024,American,Cy Young,Tarik Skubal,Seth Lugo,Emmanuel Clase,Cole Ragans,Tarik Skubal,Single
Who was awarded the [League] League [Category] in [Year]?,2023,American,Cy Young,Gerrit Cole,Sonny Gray,Kevin Gausman,Kyle Bradish,Gerrit Cole,Single
Who was awarded the [League] League [Category] in [Year]?,2022,American,Cy Young,Justin Verlander,Dylan Cease,Alek Manoah,Shohei Ohtani,Justin Verlander,Single
Who was awarded the [League] League [Category] in [Year]?,2021,American,Cy Young,Robbie Ray,Gerrit Cole,Lance Lynn,Nathan Eovaldi,Robbie Ray,Single
Who was awarded the [League] League [Category] in [Year]?,2020,American,Cy Young,Shane Bieber,Kenta Maeda,Hyun Jin Ryu,Gerrit Cole,Shane Bieber,Single
Who was awarded the [League] League [Category] in [Year]?,2019,American,Cy Young,Justin Verlander,Gerrit Cole,Charlie Morton,Shane Bieber,Justin Verlander,Single
Who was awarded the [League] League [Category] in [Year]?,2018,American,Cy Young,Blake Snell,Justin Verlander,Corey Kluber,Chris Sale,Blake Snell,Double
Who was awarded the [League] League [Category] in [Year]?,2017,American,Cy Young,Corey Kluber,Chris Sale,Luis Severino,Carlos Carrasco,Corey Kluber,Double
Who was awarded the [League] League [Category] in [Year]?,2016,American,Cy Young,Rick Porcello,Justin Verlander,Corey Kluber,Zack Britton,Rick Porcello,Double
Who was awarded the [League] League [Category] in [Year]?,2015,American,Cy Young,Dallas Keuchel,David Price,Sonny Gray,Chris Sale,Dallas Keuchel,Double
Who was awarded the [League] League [Category] in [Year]?,2014,American,Cy Young,Corey Kluber,Felix Hernandez,Chris Sale,Jon Lester,Corey Kluber,Double
Who was awarded the [League] League [Category] in [Year]?,2013,American,Cy Young,Max Scherzer,Yu Darvish,Hisashi Iwakuma,Anibal Sanchez,Max Scherzer,Double
Who was awarded the [League] League [Category] in [Year]?,2012,American,Cy Young,David Price,Justin Verlander,Jered Weaver,Felix Hernandez,David Price,Triple
Who was awarded the [League] League [Category] in [Year]?,2011,American,Cy Young,Justin Verlander,Jered Weaver,James Shields,CC Sabathia,Justin Verlander,Triple
Who was awarded the [League] League [Category] in [Year]?,2010,American,Cy Young,Felix Hernandez,David Price,CC Sabathia,Jon Lester,Felix Hernandez,Triple
Who was awarded the [League] League [Category] in [Year]?,2009,American,Cy Young,Zack Greinke,Felix Hernandez,Justin Verlander,CC Sabathia,Zack Greinke,Triple
Who was awarded the [League] League [Category] in [Year]?,2008,American,Cy Young,Cliff Lee,Roy Halladay,Francisco Rodriguez,Daisuke Matsuzaka,Cliff Lee,Triple
Who was awarded the [League] League [Category] in [Year]?,2007,American,Cy Young,CC Sabathia,Josh Beckett,John Lackey,Roberto Hernandez,CC Sabathia,Triple
Who was awarded the [League] League [Category] in [Year]?,2006,American,Cy Young,Johan Santana,Chien-Ming Wang,Roy Halladay,Francisco Rodriguez,Johan Santana,Home Run
Who was awarded the [League] League [Category] in [Year]?,2005,American,Cy Young,Bartolo Colon,Mariano Rivera,Johan Santana,Cliff Lee,Bartolo Colon,Home Run
Who was awarded the [League] League [Category] in [Year]?,2004,American,Cy Young,Johan Santana,Curt Schilling,Mariano Rivera,Pedro Martinez,Johan Santana,Home Run
Who was awarded the [League] League [Category] in [Year]?,2003,American,Cy Young,Roy Halladay,Esteban Loaiza,Pedro Martinez,Tim Hudson,Roy Halladay,Home Run
Who was awarded the [League] League [Category] in [Year]?,2002,American,Cy Young,Barry Zito,Pedro Martinez,Derek Lowe,Jarrod Washburn,Barry Zito,Home Run
Who was awarded the [League] League [Category] in [Year]?,2001,American,Cy Young,Roger Clemens,Mark Mulder,Freddy Garcia,Jamie Moyer,Roger Clemens,Home Run
Who was awarded the [League] League [Category] in [Year]?,2024,National,Cy Young,Chris Sale,Zack Wheeler,Paul Skenes,Dylan Cease,Chris Sale,Single
Who was awarded the [League] League [Category] in [Year]?,2023,National,Cy Young,Blake Snell,Logan Webb,Zac Gallen,Spencer Strider,Blake Snell,Single
Who was awarded the [League] League [Category] in [Year]?,2022,National,Cy Young,Sandy Alcantara,Max Fried,Julio Urias,Aaron Nola,Sandy Alcantara,Single
Who was awarded the [League] League [Category] in [Year]?,2021,National,Cy Young,Corbin Burnes,Zack Wheeler,Max Scherzer,Walker Buehler,Corbin Burnes,Single
Who was awarded the [League] League [Category] in [Year]?,2020,National,Cy Young,Trevor Bauer,Yu Darvish,Jacob deGrom,Dinelson Lamet,Trevor Bauer,Single
Who was awarded the [League] League [Category] in [Year]?,2019,National,Cy Young,Jacob deGrom,Hyun Jin Ryu,Max Scherzer,Jack Flaherty,Jacob deGrom,Single
Who was awarded the [League] League [Category] in [Year]?,2018,National,Cy Young,Jacob deGrom,Max Scherzer,Aaron Nola,Kyle Freeland,Jacob deGrom,Double
Who was awarded the [League] League [Category] in [Year]?,2017,National,Cy Young,Max Scherzer,Clayton Kershaw,Stephen Strasburg,Zack Greinke,Max Scherzer,Double
Who was awarded the [League] League [Category] in [Year]?,2016,National,Cy Young,Max Scherzer,Jon Lester,Kyle Hendricks,Madison Bumgarner,Max Scherzer,Double
Who was awarded the [League] League [Category] in [Year]?,2015,National,Cy Young,Jake Arrieta,Zack Greinke,Clayton Kershaw,Gerrit Cole,Jake Arrieta,Double
Who was awarded the [League] League [Category] in [Year]?,2014,National,Cy Young,Clayton Kershaw,Johnny Cueto,Adam Wainwright,Madison Bumgarner,Clayton Kershaw,Double
Who was awarded the [League] League [Category] in [Year]?,2013,National,Cy Young,Clayton Kershaw,Adam Wainwright,Jose Fernandez,Matt Harvey,Clayton Kershaw,Double
Who was awarded the [League] League [Category] in [Year]?,2012,National,Cy Young,R.A. Dickey,Clayton Kershaw,Gio Gonzalez,Johnny Cueto,R.A. Dickey,Triple
Who was awarded the [League] League [Category] in [Year]?,2011,National,Cy Young,Clayton Kershaw,Roy Halladay,Cliff Lee,Ian Kennedy,Clayton Kershaw,Triple
Who was awarded the [League] League [Category] in [Year]?,2010,National,Cy Young,Roy Halladay,Adam Wainwright,Ubaldo Jimenez,Tim Hudson,Roy Halladay,Triple
Who was awarded the [League] League [Category] in [Year]?,2009,National,Cy Young,Tim Lincecum,Chris Carpenter,Adam Wainwright,Javier Vazquez,Tim Lincecum,Triple
Who was awarded the [League] League [Category] in [Year]?,2008,National,Cy Young,Tim Lincecum,Brandon Webb,Johan Santana,Brad Lidge,Tim Lincecum,Triple
Who was awarded the [League] League [Category] in [Year]?,2007,National,Cy Young,Jake Peavey,Brandon Webb,Brad Penny,Aaron Harang,Jake Peavey,Triple
Who was awarded the [League] League [Category] in [Year]?,2006,National,Cy Young,Brandon Webb,Trevor Hoffman,Chris Carpenter,Roy Oswalt,Brandon Webb,Home Run
Who was awarded the [League] League [Category] in [Year]?,2005,National,Cy Young,Chris Carpenter,Dontrelle Willis,Roger Clemens,Roy Oswalt,Chris Carpenter,Home Run
Who was awarded the [League] League [Category] in [Year]?,2004,National,Cy Young,Roger Clemens,Randy Johnson,Roy Oswalt,Jason Schmidt,Roger Clemens,Home Run
Who was awarded the [League] League [Category] in [Year]?,2003,National,Cy Young,Eric Gagne,Jason Schmidt,Mark Prior,Russ Ortiz,Eric Gagne,Home Run
Who was awarded the [League] League [Category] in [Year]?,2002,National,Cy Young,Randy Johnson,Curt Shilling,John Smoltz,Eric Gagne,Randy Johnson,Home Run
Who was awarded the [League] League [Category] in [Year]?,2001,National,Cy Young,Randy Johnson,Curt Shilling,Matt Morris,Jon Lieber,Randy Johnson,Home Run